"","logFC","logCPM","LR","PValue","FDR","gene","logFDR","Significant"
"ENSMUSG00000056055",9.40644830194671,1.56467900897047,21.9313672988782,2.82577158299391e-06,0.056973106418311,"Sag",5.54886294661151,TRUE
"ENSMUSG00000020357",3.47102383421001,-0.211919752634957,20.0624981641229,7.49520894366439e-06,0.056973106418311,"Flt4",5.12521625583563,TRUE
"ENSMUSG00000113688",-5.64431645755171,-1.43236537000817,19.7432380642912,8.85745261748983e-06,0.056973106418311,"A930027P06Rik",5.05269116222569,TRUE
"ENSMUSG00000107688",-3.73952176639352,-0.523795720119032,19.10164758137,1.23937848670056e-05,0.056973106418311,"Gm44091",4.90679604666328,TRUE
"ENSMUSG00000112843",5.73936873036582,-1.43830935179532,19.078613557817,1.254427530696e-05,0.056973106418311,"Gm46224",4.90155442317195,TRUE
"ENSMUSG00000109422",-4.0906345937643,-1.27837804005501,18.8261487981438,1.43190482348203e-05,0.056973106418311,"Gm45174",4.84408584795711,TRUE
"ENSMUSG00000022010",0.748135751459623,7.68124002377613,17.1530913177183,3.44847730656229e-05,0.117607855342231,"Tsc22d1",4.46237262763276,FALSE
"ENSMUSG00000039194",1.12773056653267,4.17262660474569,16.1822264668746,5.75313849256489e-05,0.146600039054605,"Rlbp1",4.24009517128429,TRUE
"ENSMUSG00000048489",1.85098037613194,2.51436639194428,16.0146786118949,6.2853283021296e-05,0.146600039054605,"Depp1",4.20167203284206,TRUE
"ENSMUSG00000087027",-4.97018470663721,-1.81439510842669,15.9338849319743,6.55938419579543e-05,0.146600039054605,"Gm13206",4.18313693088675,TRUE
"ENSMUSG00000040046",9.35076656245749,1.51631651238923,15.8782906664362,6.75491320571631e-05,0.146600039054605,"Tph1",4.17038022688187,TRUE
"ENSMUSG00000029231",1.49152939065557,6.25343092747773,15.1350926221824,0.000100085450602766,0.199111663519987,"Pdgfra",3.99962905121386,TRUE
"ENSMUSG00000044786",1.67051458249056,6.53359709118394,14.9571513622517,0.000109980426201155,0.19929244739242,"Zfp36",3.95868460165313,TRUE
"ENSMUSG00000102202",-3.76749734377749,-1.47724988857246,14.5890128221689,0.000133691766410056,0.19929244739242,"Gm33280",3.87389533853298,TRUE
"ENSMUSG00000085956",3.8060103005769,-1.48957432971965,14.4778346860339,0.000141818518699294,0.19929244739242,"4930481B07Rik",3.84826705516288,TRUE
"ENSMUSG00000024990",4.03290470538722,1.44512112330759,14.4074437568872,0.000147219218839576,0.19929244739242,"Rbp4",3.83203549100977,TRUE
"ENSMUSG00000055170",-4.10287706084824,-1.2966809269785,14.3837781070448,0.000149081088077912,0.19929244739242,"Ifng",3.82657744618042,TRUE
"ENSMUSG00000042745",1.47005822333402,3.92142400749097,14.1917909704531,0.000165089169384959,0.19929244739242,"Id1",3.78228141753452,TRUE
"ENSMUSG00000040938",3.21367447852221,1.92541397946162,14.1762727577165,0.00016645636227867,0.19929244739242,"Slc16a11",3.7786996006292,TRUE
"ENSMUSG00000021250",1.38598469463527,9.57573569334912,14.0685216349593,0.00017626929503682,0.19929244739242,"Fos",3.75382333238272,TRUE
"ENSMUSG00000020713",7.65458232506587,-0.106772567445124,14.0588082080068,0.000177182036432864,0.19929244739242,"Gh",3.75158031108071,TRUE
